Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
FullBath_0,0.0,0.0,0.0,-0.0
FullBath_1,-555.5386556077848,-29.617393325755295,-0.0,-0.0
FullBath_2,-0.0,-0.0,-0.0,-0.0
FullBath_3,26685.62072308605,26461.543496174174,23603.485523451687,20138.998682869922
BedroomAbvGr_0,0.0,0.0,0.0,0.0
BedroomAbvGr_1,0.0,0.0,-0.0,-0.0
BedroomAbvGr_2,2577.544933569412,2775.4680772184083,2533.148671680164,2173.2771941291203
BedroomAbvGr_3,-0.0,-0.0,0.0,0.0
BedroomAbvGr_4,0.0,0.0,-0.0,-0.0
BedroomAbvGr_5,-15750.433668051157,-14505.230164796429,-9482.502463298692,-2768.2225264264575
BedroomAbvGr_6,-0.0,-0.0,-0.0,-0.0
TotRmsAbvGrd_3,0.0,0.0,0.0,0.0
TotRmsAbvGrd_4,1811.7138208167607,1211.143305802585,0.0,0.0
TotRmsAbvGrd_5,-0.0,-0.0,0.0,0.0
TotRmsAbvGrd_6,-0.0,-0.0,-0.0,-0.0
TotRmsAbvGrd_7,-696.5803413233351,-653.4389083431026,-791.1083167503123,-720.7950715527047
TotRmsAbvGrd_8,-1575.5815817638365,-1523.4310133916229,-1499.614777467944,-1330.7058519754892
TotRmsAbvGrd_9,-1551.069575518105,-942.5613542074514,-0.0,-0.0
TotRmsAbvGrd_10,5669.840582706741,4935.932020174523,2501.155632437703,0.0
TotRmsAbvGrd_11,0.0,0.0,0.0,0.0
TotRmsAbvGrd_12,2011.9773331050194,0.0,0.0,0.0
KitchenAbvGr_0,0.0,0.0,0.0,0.0
KitchenAbvGr_1,14068.811380282541,13247.358978214997,13746.0370358107,13692.839711667219
KitchenAbvGr_2,-0.0,-0.0,-0.0,-0.0
HalfBath_0,-0.0,-0.0,-0.0,-0.0
HalfBath_1,4192.183539587147,4108.747673077238,4641.025033779721,4927.808711234435
HalfBath_2,-0.0,-0.0,-0.0,-0.0
Fireplaces_0,-1214.86443218099,-1645.728816295998,-1579.8033476659782,-1279.9528334982324
Fireplaces_1,0.0,0.0,0.0,0.0
Fireplaces_2,4262.736248058837,3868.772318091975,2826.8252588234154,1516.358189018182
Fireplaces_3,-0.0,-0.0,-0.0,-0.0
